Prefix	Base
BFO	http://purl.obolibrary.org/obo/BFO_
DOID	http://purl.obolibrary.org/obo/DOID_
OBI	http://purl.obolibrary.org/obo/OBI_
OGMS	http://purl.obolibrary.org/obo/OGMS_
ONTIE	https://ontology.iedb.org/ontology/
NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_
EX	http://example.com/
VO	http://purl.obolibrary.org/obo/VO_
XCO	http://purl.obolibrary.org/obo/XCO_
IDO	http://purl.obolibrary.org/obo/IDO_
IE	http://example.com/IE_
